country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","24-11-2025 19:00:00",23.221714,72.654328,PM2.5,54,157,87
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","24-11-2025 19:00:00",23.221714,72.654328,NH3,2,3,2
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","24-11-2025 19:00:00",22.410802,73.097923,PM2.5,193,323,260
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","24-11-2025 19:00:00",28.732820,77.170633,PM10,190,500,392
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","24-11-2025 19:00:00",28.732820,77.170633,CO,38,148,77
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","24-11-2025 19:00:00",28.580280,77.233829,PM2.5,260,450,383
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","24-11-2025 19:00:00",23.016834,72.625775,NH3,2,9,4
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","24-11-2025 19:00:00",23.023389,72.515201,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","24-11-2025 19:00:00",23.023389,72.515201,SO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","24-11-2025 19:00:00",23.107969,72.574648,PM10,122,181,143
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","24-11-2025 19:00:00",23.002657,72.591912,SO2,30,59,51
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-11-2025 19:00:00",28.806223,76.141105,PM10,144,175,156
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-11-2025 19:00:00",28.806223,76.141105,NO2,1,35,32
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","24-11-2025 19:00:00",28.806223,76.141105,CO,7,15,11
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-11-2025 19:00:00",28.593883,76.270653,PM2.5,298,458,362
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-11-2025 19:00:00",28.593883,76.270653,CO,8,25,14
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","24-11-2025 19:00:00",28.593883,76.270653,OZONE,13,17,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-11-2025 19:00:00",28.206800,76.799700,PM2.5,115,399,310
